# Aozora gaiji notation → Unicode mapping (JIS X 0213:2004)
# Source : https://x0213.org/codetable/jisx0213-2004-std.txt
# License: free use/modify/distribute (Project X0213, 2009)
# Format : plane-row-cell<TAB>character<TAB>U+XXXX[+XXXX]
#   plane=1 → Aozora 第3水準1-X-Y
#   plane=2 → Aozora 第4水準2-X-Y
1-1-1	　	3000
1-43-22	剖	5256
1-43-23	坊	574A
1-43-24	妨	59A8
1-43-25	帽	5E3D
1-43-26	忘	5FD8
1-43-27	忙	5FD9
1-43-28	房	623F
1-43-29	暴	66B4
1-43-30	望	671B
1-43-31	某	67D0
1-43-32	棒	68D2
1-43-33	冒	5192
1-43-34	紡	7D21
1-43-35	肪	80AA
1-43-36	膨	81A8
1-43-37	謀	8B00
1-43-38	貌	8C8C
1-43-39	貿	8CBF
1-43-40	鉾	927E
1-43-41	防	9632
1-43-42	吠	5420
1-43-43	頬	982C
1-43-44	北	5317
1-43-45	僕	50D5
1-43-46	卜	535C
1-43-47	墨	58A8
1-43-48	撲	64B2
1-43-49	朴	6734
1-43-50	牧	7267
1-43-51	睦	7766
1-43-52	穆	7A46
1-43-53	釦	91E6
1-43-54	勃	52C3
1-43-55	没	6CA1
1-43-56	殆	6B86
1-43-57	堀	5800
1-43-58	幌	5E4C
1-43-59	奔	5954
1-43-60	本	672C
1-43-61	翻	7FFB
1-43-62	凡	51E1
1-43-63	盆	76C6
1-43-64	摩	6469
1-43-65	磨	78E8
1-43-66	魔	9B54
1-43-67	麻	9EBB
1-43-68	埋	57CB
1-43-69	妹	59B9
1-43-70	昧	6627
1-43-71	枚	679A
1-43-72	毎	6BCE
1-43-73	哩	54E9
1-43-74	槙	69D9
1-43-75	幕	5E55
1-43-76	膜	819C
1-43-77	枕	6795
1-43-78	鮪	9BAA
1-43-79	柾	67FE
1-43-80	鱒	9C52
1-43-81	桝	685D
1-43-82	亦	4EA6
1-43-83	俣	4FE3
1-43-84	又	53C8
1-43-85	抹	62B9
1-43-86	末	672B
1-43-87	沫	6CAB
1-43-88	迄	8FC4
1-43-89	侭	4FAD
1-43-90	繭	7E6D
1-43-91	麿	9EBF
1-43-92	万	4E07
1-43-93	慢	6162
1-43-94	満	6E80
1-44-1	漫	6F2B
1-44-2	蔓	8513
1-44-3	味	5473
1-44-4	未	672A
1-44-5	魅	9B45
1-44-6	巳	5DF3
1-44-7	箕	7B95
1-44-8	岬	5CAC
1-44-9	密	5BC6
1-44-10	蜜	871C
1-44-11	湊	6E4A
1-44-12	蓑	84D1
1-44-13	稔	7A14
1-44-14	脈	8108
1-44-15	妙	5999
1-44-16	粍	7C8D
1-44-17	民	6C11
1-44-18	眠	7720
1-44-19	務	52D9
1-44-20	夢	5922
1-44-21	無	7121
1-44-22	牟	725F
1-44-23	矛	77DB
1-44-24	霧	9727
1-44-25	鵡	9D61
1-44-26	椋	690B
1-44-27	婿	5A7F
1-44-28	娘	5A18
1-44-29	冥	51A5
1-44-30	名	540D
1-44-31	命	547D
1-44-32	明	660E
1-44-33	盟	76DF
1-44-34	迷	8FF7
1-44-35	銘	9298
1-44-36	鳴	9CF4
1-44-37	姪	59EA
1-44-38	牝	725D
1-44-39	滅	6EC5
1-44-40	免	514D
1-44-41	棉	68C9
1-44-42	綿	7DBF
1-44-43	緬	7DEC
1-44-44	面	9762
1-44-45	麺	9EBA
1-44-46	摸	6478
1-44-47	模	6A21
1-44-48	茂	8302
1-44-49	妄	5984
1-44-50	孟	5B5F
1-44-51	毛	6BDB
1-44-52	猛	731B
1-44-53	盲	76F2
1-44-54	網	7DB2
1-44-55	耗	8017
1-44-56	蒙	8499
1-44-57	儲	5132
1-44-58	木	6728
1-44-59	黙	9ED9
1-44-60	目	76EE
1-44-61	杢	6762
1-44-62	勿	52FF
1-44-63	餅	9905
1-44-64	尤	5C24
1-44-65	戻	623B
1-44-66	籾	7C7E
1-44-67	貰	8CB0
1-44-68	問	554F
1-44-69	悶	60B6
1-44-70	紋	7D0B
1-44-71	門	9580
1-44-72	匁	5301
1-44-73	也	4E5F
1-44-74	冶	51B6
1-44-75	夜	591C
1-44-76	爺	723A
1-44-77	耶	8036
1-44-78	野	91CE
1-44-79	弥	5F25
1-44-80	矢	77E2
1-44-81	厄	5384
1-44-82	役	5F79
1-44-83	約	7D04
1-44-84	薬	85AC
1-44-85	訳	8A33
1-44-86	躍	8E8D
1-44-87	靖	9756
1-44-88	柳	67F3
1-44-89	薮	85AE
1-44-90	鑓	9453
1-44-91	愉	6109
1-44-92	愈	6108
1-44-93	油	6CB9
1-44-94	癒	7652
1-45-1	諭	8AED
1-45-2	輸	8F38
1-45-3	唯	552F
1-45-4	佑	4F51
1-45-5	優	512A
1-45-6	勇	52C7
1-45-7	友	53CB
1-45-8	宥	5BA5
1-45-9	幽	5E7D
1-45-10	悠	60A0
1-45-11	憂	6182
1-45-12	揖	63D6
1-45-13	有	6709
1-45-14	柚	67DA
1-45-15	湧	6E67
1-45-16	涌	6D8C
1-45-17	猶	7336
1-45-18	猷	7337
1-45-19	由	7531
1-45-20	祐	7950
1-45-21	裕	88D5
1-45-22	誘	8A98
1-45-23	遊	904A
1-45-24	邑	9091
1-45-25	郵	90F5
1-45-26	雄	96C4
1-45-27	融	878D
1-45-28	夕	5915
1-45-29	予	4E88
1-45-30	余	4F59
1-45-31	与	4E0E
1-45-32	誉	8A89
1-45-33	輿	8F3F
1-45-34	預	9810
1-45-35	傭	50AD
1-45-36	幼	5E7C
1-45-37	妖	5996
1-45-38	容	5BB9
1-45-39	庸	5EB8
1-45-40	揚	63DA
1-45-41	揺	63FA
1-45-42	擁	64C1
1-45-43	曜	66DC
1-45-44	楊	694A
1-45-45	様	69D8
1-45-46	洋	6D0B
1-45-47	溶	6EB6
1-45-48	熔	7194
1-45-49	用	7528
1-45-50	窯	7AAF
1-45-51	羊	7F8A
1-45-52	耀	8000
1-45-53	葉	8449
1-45-54	蓉	84C9
1-45-55	要	8981
1-45-56	謡	8B21
1-45-57	踊	8E0A
1-45-58	遥	9065
1-45-59	陽	967D
1-45-60	養	990A
1-45-61	慾	617E
1-45-62	抑	6291
1-45-63	欲	6B32
1-45-64	沃	6C83
1-45-65	浴	6D74
1-45-66	翌	7FCC
1-45-67	翼	7FFC
1-45-68	淀	6DC0
1-45-69	羅	7F85
1-45-70	螺	87BA
1-45-71	裸	88F8
1-45-72	来	6765
1-45-73	莱	83B1
1-45-74	頼	983C
1-45-75	雷	96F7
1-45-76	洛	6D1B
1-45-77	絡	7D61
1-45-78	落	843D
1-45-79	酪	916A
1-45-80	乱	4E71
1-45-81	卵	5375
1-45-82	嵐	5D50
1-45-83	欄	6B04
1-45-84	濫	6FEB
1-45-85	藍	85CD
1-45-86	蘭	862D
1-45-87	覧	89A7
1-45-88	利	5229
1-45-89	吏	540F
1-45-90	履	5C65
1-45-91	李	674E
1-45-92	梨	68A8
1-45-93	理	7406
1-45-94	璃	7483
1-46-1	痢	75E2
1-46-2	裏	88CF
1-46-3	裡	88E1
1-46-4	里	91CC
1-46-5	離	96E2
1-46-6	陸	9678
1-46-7	律	5F8B
1-46-8	率	7387
1-46-9	立	7ACB
1-46-10	葎	844E
1-46-11	掠	63A0
1-46-12	略	7565
1-46-13	劉	5289
1-46-14	流	6D41
1-46-15	溜	6E9C
1-46-16	琉	7409
1-46-17	留	7559
1-46-18	硫	786B
1-46-19	粒	7C92
1-46-20	隆	9686
1-46-21	竜	7ADC
1-46-22	龍	9F8D
1-46-23	侶	4FB6
1-46-24	慮	616E
1-46-25	旅	65C5
1-46-26	虜	865C
1-46-27	了	4E86
1-46-28	亮	4EAE
1-46-29	僚	50DA
1-46-30	両	4E21
1-46-31	凌	51CC
1-46-32	寮	5BEE
1-46-33	料	6599
1-46-34	梁	6881
1-46-35	涼	6DBC
1-46-36	猟	731F
1-46-37	療	7642
1-46-38	瞭	77AD
1-46-39	稜	7A1C
1-46-40	糧	7CE7
1-46-41	良	826F
1-46-42	諒	8AD2
1-46-43	遼	907C
1-46-44	量	91CF
1-46-45	陵	9675
1-46-46	領	9818
1-46-47	力	529B
1-46-48	緑	7DD1
1-46-49	倫	502B
1-46-50	厘	5398
1-46-51	林	6797
1-46-52	淋	6DCB
1-46-53	燐	71D0
1-46-54	琳	7433
1-46-55	臨	81E8
1-46-56	輪	8F2A
1-46-57	隣	96A3
1-46-58	鱗	9C57
1-46-59	麟	9E9F
1-46-60	瑠	7460
1-46-61	塁	5841
1-46-62	涙	6D99
1-46-63	累	7D2F
1-46-64	類	985E
1-46-65	令	4EE4
1-46-66	伶	4F36
1-46-67	例	4F8B
1-46-68	冷	51B7
1-46-69	励	52B1
1-46-70	嶺	5DBA
1-46-71	怜	601C
1-46-72	玲	73B2
1-46-73	礼	793C
1-46-74	苓	82D3
1-46-75	鈴	9234
1-46-76	隷	96B7
1-46-77	零	96F6
1-46-78	霊	970A
1-46-79	麗	9E97
1-46-80	齢	9F62
1-46-81	暦	66A6
1-46-82	歴	6B74
1-46-83	列	5217
1-46-84	劣	52A3
1-46-85	烈	70C8
1-46-86	裂	88C2
1-46-87	廉	5EC9
1-46-88	恋	604B
1-46-89	憐	6190
1-46-90	漣	6F23
1-46-91	煉	7149
1-46-92	簾	7C3E
1-46-93	練	7DF4
1-46-94	聯	806F
1-47-1	蓮	84EE
1-47-2	連	9023
1-47-3	錬	932C
1-47-4	呂	5442
1-47-5	魯	9B6F
1-47-6	櫓	6AD3
1-47-7	炉	7089
1-47-8	賂	8CC2
1-47-9	路	8DEF
1-47-10	露	9732
1-47-11	労	52B4
1-47-12	婁	5A41
1-47-13	廊	5ECA
1-47-14	弄	5F04
1-47-15	朗	6717
1-47-16	楼	697C
1-47-17	榔	6994
1-47-18	浪	6D6A
1-47-19	漏	6F0F
1-47-20	牢	7262
1-47-21	狼	72FC
1-47-22	篭	7BED
1-47-23	老	8001
1-47-24	聾	807E
1-47-25	蝋	874B
1-47-26	郎	90CE
1-47-27	六	516D
1-47-28	麓	9E93
1-47-29	禄	7984
1-47-30	肋	808B
1-47-31	録	9332
1-47-32	論	8AD6
1-47-33	倭	502D
1-47-34	和	548C
1-47-35	話	8A71
1-47-36	歪	6B6A
1-47-37	賄	8CC4
1-47-38	脇	8107
1-47-39	惑	60D1
1-47-40	枠	67A0
1-47-41	鷲	9DF2
1-47-42	亙	4E99
1-47-43	亘	4E98
1-47-44	鰐	9C10
1-47-45	詫	8A6B
1-47-46	藁	85C1
1-47-47	蕨	8568
1-47-48	椀	6900
1-47-49	湾	6E7E
1-47-50	碗	7897
1-47-51	腕	8155
1-47-52	𠮟	20B9F
1-47-53	孁	5B41
1-47-54	孖	5B56
1-47-55	孽	5B7D
1-47-56	宓	5B93
1-47-57	寘	5BD8
1-47-58	寬	5BEC
1-47-59	尒	5C12
1-47-60	尞	5C1E
1-47-61	尣	5C23
1-47-62	尫	5C2B
1-47-63	㞍	378D
1-47-64	屢	5C62
1-47-65	層	FA3B
1-47-66	屮	FA3C
1-47-67	𡚴	216B4
1-47-68	屺	5C7A
1-47-69	岏	5C8F
1-47-70	岟	5C9F
1-47-71	岣	5CA3
1-47-72	岪	5CAA
1-47-73	岺	5CBA
1-47-74	峋	5CCB
1-47-75	峐	5CD0
1-47-76	峒	5CD2
1-47-77	峴	5CF4
1-47-78	𡸴	21E34
1-47-79	㟢	37E2
1-47-80	崍	5D0D
1-47-81	崧	5D27
1-47-82	﨑	FA11
1-47-83	嵆	5D46
1-47-84	嵇	5D47
1-47-85	嵓	5D53
1-47-86	嵊	5D4A
1-47-87	嵭	5D6D
1-47-88	嶁	5D81
1-47-89	嶠	5DA0
1-47-90	嶤	5DA4
1-47-91	嶧	5DA7
1-47-92	嶸	5DB8
1-47-93	巋	5DCB
1-47-94	吞	541E
1-48-1	弌	5F0C
1-48-2	丐	4E10
1-48-3	丕	4E15
1-48-4	个	4E2A
1-48-5	丱	4E31
1-48-6	丶	4E36
1-48-7	丼	4E3C
1-48-8	丿	4E3F
1-48-9	乂	4E42
1-48-10	乖	4E56
1-48-11	乘	4E58
1-48-12	亂	4E82
1-48-13	亅	4E85
1-48-14	豫	8C6B
1-48-15	亊	4E8A
1-48-16	舒	8212
1-48-17	弍	5F0D
1-48-18	于	4E8E
1-48-19	亞	4E9E
1-48-20	亟	4E9F
1-48-21	亠	4EA0
1-48-22	亢	4EA2
1-48-23	亰	4EB0
1-48-24	亳	4EB3
1-48-25	亶	4EB6
1-48-26	从	4ECE
1-48-27	仍	4ECD
1-48-28	仄	4EC4
1-48-29	仆	4EC6
1-48-30	仂	4EC2
1-48-31	仗	4ED7
1-48-32	仞	4EDE
1-48-33	仭	4EED
1-48-34	仟	4EDF
1-48-35	价	4EF7
1-48-36	伉	4F09
1-48-37	佚	4F5A
1-48-38	估	4F30
1-48-39	佛	4F5B
1-48-40	佝	4F5D
1-48-41	佗	4F57
1-48-42	佇	4F47
1-48-43	佶	4F76
1-48-44	侈	4F88
1-48-45	侏	4F8F
1-48-46	侘	4F98
1-48-47	佻	4F7B
1-48-48	佩	4F69
1-48-49	佰	4F70
1-48-50	侑	4F91
1-48-51	佯	4F6F
1-48-52	來	4F86
1-48-53	侖	4F96
1-48-54	儘	5118
1-48-55	俔	4FD4
1-48-56	俟	4FDF
1-48-57	俎	4FCE
1-48-58	俘	4FD8
1-48-59	俛	4FDB
1-48-60	俑	4FD1
1-48-61	俚	4FDA
1-48-62	俐	4FD0
1-48-63	俤	4FE4
1-48-64	俥	4FE5
1-48-65	倚	501A
1-48-66	倨	5028
1-48-67	倔	5014
1-48-68	倪	502A
1-48-69	倥	5025
1-48-70	倅	5005
1-48-71	伜	4F1C
1-48-72	俶	4FF6
1-48-73	倡	5021
1-48-74	倩	5029
1-48-75	倬	502C
1-48-76	俾	4FFE
1-48-77	俯	4FEF
1-48-78	們	5011
1-48-79	倆	5006
1-48-80	偃	5043
1-48-81	假	5047
1-48-82	會	6703
1-48-83	偕	5055
1-48-84	偐	5050
1-48-85	偈	5048
1-48-86	做	505A
1-48-87	偖	5056
1-48-88	偬	506C
1-48-89	偸	5078
1-48-90	傀	5080
1-48-91	傚	509A
1-48-92	傅	5085
1-48-93	傴	50B4
1-48-94	傲	50B2
1-49-1	僉	50C9
1-49-2	僊	50CA
1-49-3	傳	50B3
1-49-4	僂	50C2
1-49-5	僖	50D6
1-49-6	僞	50DE
1-49-7	僥	50E5
1-49-8	僭	50ED
1-49-9	僣	50E3
1-49-10	僮	50EE
1-49-11	價	50F9
1-49-12	僵	50F5
1-49-13	儉	5109
1-49-14	儁	5101
1-49-15	儂	5102
1-49-16	儖	5116
1-49-17	儕	5115
1-49-18	儔	5114
1-49-19	儚	511A
1-49-20	儡	5121
1-49-21	儺	513A
1-49-22	儷	5137
1-49-23	儼	513C
1-49-24	儻	513B
1-49-25	儿	513F
1-49-26	兀	5140
1-49-27	兒	5152
1-49-28	兌	514C
1-49-29	兔	5154
1-49-30	兢	5162
1-49-31	竸	7AF8
1-49-32	兩	5169
1-49-33	兪	516A
1-49-34	兮	516E
1-49-35	冀	5180
1-49-36	冂	5182
1-49-37	囘	56D8
1-49-38	册	518C
1-49-39	冉	5189
1-49-40	冏	518F
1-49-41	冑	5191
1-49-42	冓	5193
1-49-43	冕	5195
1-49-44	冖	5196
1-49-45	冤	51A4
1-49-46	冦	51A6
1-49-47	冢	51A2
1-49-48	冩	51A9
1-49-49	冪	51AA
1-49-50	冫	51AB
1-49-51	决	51B3
1-49-52	冱	51B1
1-49-53	冲	51B2
1-49-54	冰	51B0
1-49-55	况	51B5
1-49-56	冽	51BD
1-49-57	凅	51C5
1-49-58	凉	51C9
1-49-59	凛	51DB
1-49-60	几	51E0
1-49-61	處	8655
1-49-62	凩	51E9
1-49-63	凭	51ED
1-49-64	凰	51F0
1-49-65	凵	51F5
1-49-66	凾	51FE
1-49-67	刄	5204
1-49-68	刋	520B
1-49-69	刔	5214
1-49-70	刎	520E
1-49-71	刧	5227
1-49-72	刪	522A
1-49-73	刮	522E
1-49-74	刳	5233
1-49-75	刹	5239
1-49-76	剏	524F
1-49-77	剄	5244
1-49-78	剋	524B
1-49-79	剌	524C
1-49-80	剞	525E
1-49-81	剔	5254
1-49-82	剪	526A
1-49-83	剴	5274
1-49-84	剩	5269
1-49-85	剳	5273
1-49-86	剿	527F
1-49-87	剽	527D
1-49-88	劍	528D
1-49-89	劔	5294
1-49-90	劒	5292
1-49-91	剱	5271
1-49-92	劈	5288
1-49-93	劑	5291
1-49-94	辨	8FA8
1-50-1	辧	8FA7
1-50-2	劬	52AC
1-50-3	劭	52AD
1-50-4	劼	52BC
1-50-5	劵	52B5
1-50-6	勁	52C1
1-50-7	勍	52CD
1-50-8	勗	52D7
1-50-9	勞	52DE
1-50-10	勣	52E3
1-50-11	勦	52E6
1-50-12	飭	98ED
1-50-13	勠	52E0
1-50-14	勳	52F3
1-50-15	勵	52F5
1-50-16	勸	52F8
1-50-17	勹	52F9
1-50-18	匆	5306
1-50-19	匈	5308
1-50-20	甸	7538
1-50-21	匍	530D
1-50-22	匐	5310
1-50-23	匏	530F
1-50-24	匕	5315
1-50-25	匚	531A
1-50-26	匣	5323
1-50-27	匯	532F
1-50-28	匱	5331
1-50-29	匳	5333
1-50-30	匸	5338
1-50-31	區	5340
1-50-32	卆	5346
1-50-33	卅	5345
1-50-34	丗	4E17
1-50-35	卉	5349
1-50-36	卍	534D
1-50-37	凖	51D6
1-50-38	卞	535E
1-50-39	卩	5369
1-50-40	卮	536E
1-50-41	夘	5918
1-50-42	卻	537B
1-50-43	卷	5377
1-50-44	厂	5382
1-50-45	厖	5396
1-50-46	厠	53A0
1-50-47	厦	53A6
1-50-48	厥	53A5
1-50-49	厮	53AE
1-50-50	厰	53B0
1-50-51	厶	53B6
1-50-52	參	53C3
1-50-53	簒	7C12
1-50-54	雙	96D9
1-50-55	叟	53DF
1-50-56	曼	66FC
1-50-57	燮	71EE
1-50-58	叮	53EE
1-50-59	叨	53E8
1-50-60	叭	53ED
1-50-61	叺	53FA
1-50-62	吁	5401
1-50-63	吽	543D
1-50-64	呀	5440
1-50-65	听	542C
1-50-66	吭	542D
1-50-67	吼	543C
1-50-68	吮	542E
1-50-69	吶	5436
1-50-70	吩	5429
1-50-71	吝	541D
1-50-72	呎	544E
1-50-73	咏	548F
1-50-74	呵	5475
1-50-75	咎	548E
1-50-76	呟	545F
1-50-77	呱	5471
1-50-78	呷	5477
1-50-79	呰	5470
1-50-80	咒	5492
1-50-81	呻	547B
1-50-82	咀	5480
1-50-83	呶	5476
1-50-84	咄	5484
1-50-85	咐	5490
1-50-86	咆	5486
1-50-87	哇	54C7
1-50-88	咢	54A2
1-50-89	咸	54B8
1-50-90	咥	54A5
1-50-91	咬	54AC
1-50-92	哄	54C4
1-50-93	哈	54C8
1-50-94	咨	54A8
1-51-1	咫	54AB
1-51-2	哂	54C2
1-51-3	咤	54A4
1-51-4	咾	54BE
1-51-5	咼	54BC
1-51-6	哘	54D8
1-51-7	哥	54E5
1-51-8	哦	54E6
1-51-9	唏	550F
1-51-10	唔	5514
1-51-11	哽	54FD
1-51-12	哮	54EE
1-51-13	哭	54ED
1-51-14	哺	54FA
1-51-15	哢	54E2
1-51-16	唹	5539
1-51-17	啀	5540
1-51-18	啣	5563
1-51-19	啌	554C
1-51-20	售	552E
1-51-21	啜	555C
1-51-22	啅	5545
1-51-23	啖	5556
1-51-24	啗	5557
1-51-25	唸	5538
1-51-26	唳	5533
1-51-27	啝	555D
1-51-28	喙	5599
1-51-29	喀	5580
1-51-30	咯	54AF
1-51-31	喊	558A
1-51-32	喟	559F
1-51-33	啻	557B
1-51-34	啾	557E
1-51-35	喘	5598
1-51-36	喞	559E
1-51-37	單	55AE
1-51-38	啼	557C
1-51-39	喃	5583
1-51-40	喩	55A9
1-51-41	喇	5587
1-51-42	喨	55A8
1-51-43	嗚	55DA
1-51-44	嗅	55C5
1-51-45	嗟	55DF
1-51-46	嗄	55C4
1-51-47	嗜	55DC
1-51-48	嗤	55E4
1-51-49	嗔	55D4
1-51-50	嘔	5614
1-51-51	嗷	55F7
1-51-52	嘖	5616
1-51-53	嗾	55FE
1-51-54	嗽	55FD
1-51-55	嘛	561B
1-51-56	嗹	55F9
1-51-57	噎	564E
1-51-58	噐	5650
1-51-59	營	71DF
1-51-60	嘴	5634
1-51-61	嘶	5636
1-51-62	嘲	5632
1-51-63	嘸	5638
1-51-64	噫	566B
1-51-65	噤	5664
1-51-66	嘯	562F
1-51-67	噬	566C
1-51-68	噪	566A
1-51-69	嚆	5686
1-51-70	嚀	5680
1-51-71	嚊	568A
1-51-72	嚠	56A0
1-51-73	嚔	5694
1-51-74	嚏	568F
1-51-75	嚥	56A5
1-51-76	嚮	56AE
1-51-77	嚶	56B6
1-51-78	嚴	56B4
1-51-79	囂	56C2
1-51-80	嚼	56BC
1-51-81	囁	56C1
1-51-82	囃	56C3
1-51-83	囀	56C0
1-51-84	囈	56C8
1-51-85	囎	56CE
1-51-86	囑	56D1
1-51-87	囓	56D3
1-51-88	囗	56D7
1-51-89	囮	56EE
1-51-90	囹	56F9
1-51-91	圀	5700
1-51-92	囿	56FF
1-51-93	圄	5704
1-51-94	圉	5709
1-52-1	圈	5708
1-52-2	國	570B
1-52-3	圍	570D
1-52-4	圓	5713
1-52-5	團	5718
1-52-6	圖	5716
1-52-7	嗇	55C7
1-52-8	圜	571C
1-52-9	圦	5726
1-52-10	圷	5737
1-52-11	圸	5738
1-52-12	坎	574E
1-52-13	圻	573B
1-52-14	址	5740
1-52-15	坏	574F
1-52-16	坩	5769
1-52-17	埀	57C0
1-52-18	垈	5788
1-52-19	坡	5761
1-52-20	坿	577F
1-52-21	垉	5789
1-52-22	垓	5793
1-52-23	垠	57A0
1-52-24	垳	57B3
1-52-25	垤	57A4
1-52-26	垪	57AA
1-52-27	垰	57B0
1-52-28	埃	57C3
1-52-29	埆	57C6
1-52-30	埔	57D4
1-52-31	埒	57D2
1-52-32	埓	57D3
1-52-33	堊	580A
1-52-34	埖	57D6
1-52-35	埣	57E3
1-52-36	堋	580B
1-52-37	堙	5819
1-52-38	堝	581D
1-52-39	塲	5872
1-52-40	堡	5821
1-52-41	塢	5862
1-52-42	塋	584B
1-52-43	塰	5870
1-52-44	毀	6BC0
1-52-45	塒	5852
1-52-46	堽	583D
1-52-47	塹	5879
1-52-48	墅	5885
1-52-49	墹	58B9
1-52-50	墟	589F
1-52-51	墫	58AB
1-52-52	墺	58BA
1-52-53	壞	58DE
1-52-54	墻	58BB
1-52-55	墸	58B8
1-52-56	墮	58AE
1-52-57	壅	58C5
1-52-58	壓	58D3
1-52-59	壑	58D1
1-52-60	壗	58D7
1-52-61	壙	58D9
1-52-62	壘	58D8
1-52-63	壥	58E5
1-52-64	壜	58DC
1-52-65	壤	58E4
1-52-66	壟	58DF
1-52-67	壯	58EF
1-52-68	壺	58FA
1-52-69	壹	58F9
1-52-70	壻	58FB
1-52-71	壼	58FC
1-52-72	壽	58FD
1-52-73	夂	5902
1-52-74	夊	590A
1-52-75	夐	5910
1-52-76	夛	591B
1-52-77	梦	68A6
1-52-78	夥	5925
1-52-79	夬	592C
1-52-80	夭	592D
1-52-81	夲	5932
1-52-82	夸	5938
1-52-83	夾	593E
1-52-84	竒	7AD2
1-52-85	奕	5955
1-52-86	奐	5950
1-52-87	奎	594E
1-52-88	奚	595A
1-52-89	奘	5958
1-52-90	奢	5962
1-52-91	奠	5960
1-52-92	奧	5967
1-52-93	奬	596C
1-52-94	奩	5969
1-53-1	奸	5978
1-53-2	妁	5981
1-53-3	妝	599D
1-53-4	佞	4F5E
1-53-5	侫	4FAB
1-53-6	妣	59A3
1-53-7	妲	59B2
1-53-8	姆	59C6
1-53-9	姨	59E8
1-53-10	姜	59DC
1-53-11	妍	598D
1-53-12	姙	59D9
1-53-13	姚	59DA
1-53-14	娥	5A25
1-53-15	娟	5A1F
1-53-16	娑	5A11
1-53-17	娜	5A1C
1-53-18	娉	5A09
1-53-19	娚	5A1A
1-53-20	婀	5A40
1-53-21	婬	5A6C
1-53-22	婉	5A49
1-53-23	娵	5A35
1-53-24	娶	5A36
1-53-25	婢	5A62
1-53-26	婪	5A6A
1-53-27	媚	5A9A
1-53-28	媼	5ABC
1-53-29	媾	5ABE
1-53-30	嫋	5ACB
1-53-31	嫂	5AC2
1-53-32	媽	5ABD
1-53-33	嫣	5AE3
1-53-34	嫗	5AD7
1-53-35	嫦	5AE6
1-53-36	嫩	5AE9
1-53-37	嫖	5AD6
1-53-38	嫺	5AFA
1-53-39	嫻	5AFB
1-53-40	嬌	5B0C
1-53-41	嬋	5B0B
1-53-42	嬖	5B16
1-53-43	嬲	5B32
1-53-44	嫐	5AD0
1-53-45	嬪	5B2A
1-53-46	嬶	5B36
1-53-47	嬾	5B3E
1-53-48	孃	5B43
1-53-49	孅	5B45
1-53-50	孀	5B40
1-53-51	孑	5B51
1-53-52	孕	5B55
1-53-53	孚	5B5A
1-53-54	孛	5B5B
1-53-55	孥	5B65
1-53-56	孩	5B69
1-53-57	孰	5B70
1-53-58	孳	5B73
1-53-59	孵	5B75
1-53-60	學	5B78
1-53-61	斈	6588
1-53-62	孺	5B7A
1-53-63	宀	5B80
1-53-64	它	5B83
1-53-65	宦	5BA6
1-53-66	宸	5BB8
1-53-67	寃	5BC3
1-53-68	寇	5BC7
1-53-69	寉	5BC9
1-53-70	寔	5BD4
1-53-71	寐	5BD0
1-53-72	寤	5BE4
1-53-73	實	5BE6
1-53-74	寢	5BE2
1-53-75	寞	5BDE
1-53-76	寥	5BE5
1-53-77	寫	5BEB
1-53-78	寰	5BF0
1-53-79	寶	5BF6
1-53-80	寳	5BF3
1-53-81	尅	5C05
1-53-82	將	5C07
1-53-83	專	5C08
1-53-84	對	5C0D
1-53-85	尓	5C13
1-53-86	尠	5C20
1-53-87	尢	5C22
1-53-88	尨	5C28
1-53-89	尸	5C38
1-53-90	尹	5C39
1-53-91	屁	5C41
1-53-92	屆	5C46
1-53-93	屎	5C4E
1-53-94	屓	5C53
1-54-1	屐	5C50
1-54-2	屏	5C4F
1-54-3	孱	5B71
1-54-4	屬	5C6C
1-54-5	屮	5C6E
1-54-6	乢	4E62
1-54-7	屶	5C76
1-54-8	屹	5C79
1-54-9	岌	5C8C
1-54-10	岑	5C91
1-54-11	岔	5C94
1-54-12	妛	599B
1-54-13	岫	5CAB
1-54-14	岻	5CBB
1-54-15	岶	5CB6
1-54-16	岼	5CBC
1-54-17	岷	5CB7
1-54-18	峅	5CC5
1-54-19	岾	5CBE
1-54-20	峇	5CC7
1-54-21	峙	5CD9
1-54-22	峩	5CE9
1-54-23	峽	5CFD
1-54-24	峺	5CFA
1-54-25	峭	5CED
1-54-26	嶌	5D8C
1-54-27	峪	5CEA
1-54-28	崋	5D0B
1-54-29	崕	5D15
1-54-30	崗	5D17
1-54-31	嵜	5D5C
1-54-32	崟	5D1F
1-54-33	崛	5D1B
1-54-34	崑	5D11
1-54-35	崔	5D14
1-54-36	崢	5D22
1-54-37	崚	5D1A
1-54-38	崙	5D19
1-54-39	崘	5D18
1-54-40	嵌	5D4C
1-54-41	嵒	5D52
1-54-42	嵎	5D4E
1-54-43	嵋	5D4B
1-54-44	嵬	5D6C
1-54-45	嵳	5D73
1-54-46	嵶	5D76
1-54-47	嶇	5D87
1-54-48	嶄	5D84
1-54-49	嶂	5D82
1-54-50	嶢	5DA2
1-54-51	嶝	5D9D
1-54-52	嶬	5DAC
1-54-53	嶮	5DAE
1-54-54	嶽	5DBD
1-54-55	嶐	5D90
1-54-56	嶷	5DB7
1-54-57	嶼	5DBC
1-54-58	巉	5DC9
1-54-59	巍	5DCD
1-54-60	巓	5DD3
1-54-61	巒	5DD2
1-54-62	巖	5DD6
